episode,reward,robot_x,robot_y,target_x,target_y
364,9038.9454,-2.0139,-0.4382,1.475,2.525
365,18284.2451,-0.6287,-0.3205,1.475,2.525
366,11131.2071,-2.1917,-0.4134,1.475,2.525
367,17006.0993,-0.4565,-1.2157,1.475,2.525
368,1653.7968,-2.2965,-1.5231,1.475,2.525
369,32094.7543,0.8659,0.3416,1.475,2.525
370,16512.8096,-0.4494,-0.998,1.475,2.525
371,17361.1139,-0.8495,-0.2172,1.475,2.525
372,25435.1266,-1.5596,1.9794,1.475,2.525
373,22296.3634,-0.2423,-0.1925,1.475,2.525
374,3815.9562,-2.057,-1.54,1.475,2.525
375,4124.3461,-1.9277,-1.5571,1.475,2.525
376,19507.6192,-0.6147,-0.331,1.475,2.525
377,21372.5716,-0.2456,-0.2532,1.475,2.525
378,12690.4229,-1.8517,-0.368,1.475,2.525
379,11347.5169,-2.0154,-0.4254,1.475,2.525
380,32719.7302,0.7798,0.4088,1.475,2.525
381,1241.596,-2.3759,-1.5092,1.475,2.525
382,19818.0135,-0.5738,-0.3261,1.475,2.525
383,20959.4208,-0.3428,-0.2699,1.475,2.525
384,11136.8262,-1.9725,-0.4399,1.475,2.525
385,30426.0724,-0.1035,0.4175,1.475,2.525
386,30347.896,0.8804,0.3374,1.475,2.525
387,13712.2057,-1.9423,-0.4177,1.475,2.525
388,20631.6433,-0.8488,-0.2205,1.475,2.525
389,40372.9626,1.0107,1.5795,1.475,2.525
390,20145.1896,-0.2932,-0.2268,1.475,2.525
391,30188.2091,1.3391,0.0552,1.475,2.525
392,19304.6162,-0.9289,-0.0387,1.475,2.525
393,18590.9528,-0.9074,-0.1414,1.475,2.525
394,17152.5414,-0.772,-0.2786,1.475,2.525
395,16846.7441,-0.7789,-0.2648,1.475,2.525
396,21792.5395,-0.9355,0.4381,1.475,2.525
397,19406.8346,-0.4763,-0.3359,1.475,2.525
398,21581.5604,-0.2548,-0.2041,1.475,2.525
399,19907.0928,-0.8383,-0.2226,1.475,2.525
400,30035.9258,0.8807,0.3319,1.475,2.525
401,10027.0968,-2.0486,-0.4294,1.475,2.525
402,32806.9402,0.8233,0.3817,1.475,2.525
403,13201.7947,-1.7647,-0.3477,1.475,2.525
404,47990.3475,1.1208,2.1874,1.475,2.525
405,21030.0629,-0.3397,-0.8169,1.475,2.525
406,16945.8456,-0.836,-0.24,1.475,2.525
407,32084.8189,0.9101,0.319,1.475,2.525
408,23112.801,-0.2593,-0.2661,1.475,2.525
409,18085.9367,-0.9404,0.0969,1.475,2.525
410,33535.3181,0.7431,0.4751,1.475,2.525
411,18069.7282,-0.9366,-0.0368,1.475,2.525
412,21777.5225,-0.9425,0.1188,1.475,2.525
413,23094.827,-0.4896,-0.3245,1.475,2.525
414,34487.086,0.8003,0.7889,1.475,2.525
415,16234.4988,-0.9086,-0.1498,1.475,2.525
416,22392.036,-0.9265,0.2831,1.475,2.525
417,31992.537,0.8102,0.3847,1.475,2.525
418,17152.1603,-0.774,-0.2802,1.475,2.525
419,5460.748,-1.8307,-1.5788,1.475,2.525
420,10137.8521,-2.0374,-0.4323,1.475,2.525
421,35520.7432,0.7566,0.6912,1.475,2.525
422,38193.7929,0.9298,1.0331,1.475,2.525
423,17311.5727,-0.4729,-1.1976,1.475,2.525
424,18996.1984,-0.6048,-0.3359,1.475,2.525
425,17941.839,-0.4156,-0.9027,1.475,2.525
426,38220.5223,0.9865,0.2761,1.475,2.525
427,31977.4013,0.9881,0.2672,1.475,2.525
428,3816.8379,-2.1363,-1.5151,1.475,2.525
429,2992.9988,-2.1279,-1.5138,1.475,2.525
430,3713.0689,-2.0317,-1.5188,1.475,2.525
431,17115.1972,-0.4529,-0.9925,1.475,2.525
